GEO.id,GEO.id2,GEO.display-label,total,poverty,per_poverty
1400000US17015960100,17015960100,"Census Tract 9601, Carroll County, Illinois",3392,312,9.2
1400000US17015960200,17015960200,"Census Tract 9602, Carroll County, Illinois",2092,219,10.5
1400000US17015960300,17015960300,"Census Tract 9603, Carroll County, Illinois",3056,568,18.6
1400000US17015960400,17015960400,"Census Tract 9604, Carroll County, Illinois",1931,219,11.3
1400000US17015960500,17015960500,"Census Tract 9605, Carroll County, Illinois",2704,258,9.5
1400000US17015960600,17015960600,"Census Tract 9606, Carroll County, Illinois",1363,87,6.4
1400000US17017960100,17017960100,"Census Tract 9601, Cass County, Illinois",2337,173,7.4
1400000US17017960200,17017960200,"Census Tract 9602, Cass County, Illinois",2357,216,9.2
1400000US17017960300,17017960300,"Census Tract 9603, Cass County, Illinois",3013,86,2.9
1400000US17017960400,17017960400,"Census Tract 9604, Cass County, Illinois",2447,446,18.2
1400000US17017960500,17017960500,"Census Tract 9605, Cass County, Illinois",2719,866,31.8
1400000US17019000200,17019000200,"Census Tract 2, Champaign County, Illinois",1653,536,32.4
1400000US17019000301,17019000301,"Census Tract 3.01, Champaign County, Illinois",4310,3668,85.1
1400000US17019000302,17019000302,"Census Tract 3.02, Champaign County, Illinois",3081,2129,69.1
1400000US17019000401,17019000401,"Census Tract 4.01, Champaign County, Illinois",1273,1078,84.7
1400000US17019000402,17019000402,"Census Tract 4.02, Champaign County, Illinois",3696,3275,88.6
1400000US17019000500,17019000500,"Census Tract 5, Champaign County, Illinois",3618,903,25
1400000US17019000700,17019000700,"Census Tract 7, Champaign County, Illinois",3449,1005,29.1
1400000US17019000800,17019000800,"Census Tract 8, Champaign County, Illinois",5645,954,16.9
1400000US17019000901,17019000901,"Census Tract 9.01, Champaign County, Illinois",4591,1402,30.5
1400000US17019000902,17019000902,"Census Tract 9.02, Champaign County, Illinois",7029,509,7.2
1400000US17019001000,17019001000,"Census Tract 10, Champaign County, Illinois",4389,1098,25
1400000US17019001100,17019001100,"Census Tract 11, Champaign County, Illinois",3800,188,4.9
1400000US17019001201,17019001201,"Census Tract 12.01, Champaign County, Illinois",6688,1296,19.4
1400000US17019001203,17019001203,"Census Tract 12.03, Champaign County, Illinois",4838,321,6.6
1400000US17019001204,17019001204,"Census Tract 12.04, Champaign County, Illinois",3889,72,1.9
1400000US17019001205,17019001205,"Census Tract 12.05, Champaign County, Illinois",6498,553,8.5
1400000US17019001206,17019001206,"Census Tract 12.06, Champaign County, Illinois",1830,34,1.9
1400000US17019001301,17019001301,"Census Tract 13.01, Champaign County, Illinois",6025,410,6.8
1400000US17019001302,17019001302,"Census Tract 13.02, Champaign County, Illinois",3742,234,6.3
1400000US17019001400,17019001400,"Census Tract 14, Champaign County, Illinois",4077,693,17
1400000US17019005300,17019005300,"Census Tract 53, Champaign County, Illinois",6106,3364,55.1
1400000US17019005401,17019005401,"Census Tract 54.01, Champaign County, Illinois",3612,1111,30.8
1400000US17019005402,17019005402,"Census Tract 54.02, Champaign County, Illinois",3615,486,13.4
1400000US17019005500,17019005500,"Census Tract 55, Champaign County, Illinois",4758,715,15
1400000US17019005600,17019005600,"Census Tract 56, Champaign County, Illinois",6493,1079,16.6
1400000US17019005701,17019005701,"Census Tract 57.01, Champaign County, Illinois",4747,1071,22.6
1400000US17019005702,17019005702,"Census Tract 57.02, Champaign County, Illinois",2951,597,20.2
1400000US17019005800,17019005800,"Census Tract 58, Champaign County, Illinois",3879,1304,33.6
1400000US17019005900,17019005900,"Census Tract 59, Champaign County, Illinois",2369,1840,77.7
1400000US17019006000,17019006000,"Census Tract 60, Champaign County, Illinois",1207,495,41
1400000US17019010100,17019010100,"Census Tract 101, Champaign County, Illinois",4831,874,18.1
1400000US17019010204,17019010204,"Census Tract 102.04, Champaign County, Illinois",4504,1114,24.7
1400000US17019010300,17019010300,"Census Tract 103, Champaign County, Illinois",3445,806,23.4
1400000US17019010400,17019010400,"Census Tract 104, Champaign County, Illinois",4526,509,11.2
1400000US17019010500,17019010500,"Census Tract 105, Champaign County, Illinois",4475,270,6
1400000US17019010601,17019010601,"Census Tract 106.01, Champaign County, Illinois",5911,310,5.2
1400000US17019010603,17019010603,"Census Tract 106.03, Champaign County, Illinois",7454,742,10
1400000US17019010604,17019010604,"Census Tract 106.04, Champaign County, Illinois",2797,436,15.6
1400000US17019010700,17019010700,"Census Tract 107, Champaign County, Illinois",8103,286,3.5
1400000US17019010800,17019010800,"Census Tract 108, Champaign County, Illinois",4396,406,9.2
1400000US17019010900,17019010900,"Census Tract 109, Champaign County, Illinois",9722,1076,11.1
1400000US17019011000,17019011000,"Census Tract 110, Champaign County, Illinois",4175,803,19.2
1400000US17019011100,17019011100,"Census Tract 111, Champaign County, Illinois",2207,1109,50.2
1400000US17021958100,17021958100,"Census Tract 9581, Christian County, Illinois",2774,301,10.9
1400000US17021958200,17021958200,"Census Tract 9582, Christian County, Illinois",3753,516,13.7
1400000US17021958300,17021958300,"Census Tract 9583, Christian County, Illinois",4470,468,10.5
1400000US17021958400,17021958400,"Census Tract 9584, Christian County, Illinois",3485,527,15.1
1400000US17021958500,17021958500,"Census Tract 9585, Christian County, Illinois",2446,613,25.1
1400000US17021958600,17021958600,"Census Tract 9586, Christian County, Illinois",2186,316,14.5
1400000US17021958700,17021958700,"Census Tract 9587, Christian County, Illinois",3150,351,11.1
1400000US17021958800,17021958800,"Census Tract 9588, Christian County, Illinois",2701,393,14.6
